Source Name,RA,Dec,Significance,Energy Flux,L_BL Lac,L_FSRQ
4FGL J0817.1+1955,124.2772,19.9282,5.5500,$(1.3\pm0.33)	imes10^{-12}$,0.9819,0.0181
4FGL J1549.0+7846,237.2624,78.7830,5.0400,$(0.7\pm0.19)	imes10^{-12}$,0.9818,0.0182
4FGL J2144.8-1817,326.2132,-18.2988,5.5400,$(1.3\pm0.32)	imes10^{-12}$,0.9816,0.0184
4FGL J0241.9-1603,40.4850,-16.0620,10.3900,$(2.2\pm0.35)	imes10^{-12}$,0.9814,0.0186
4FGL J2241.1-4122,340.2789,-41.3771,4.3600,$(0.7\pm0.22)	imes10^{-12}$,0.9813,0.0187
4FGL J1922.2+2314,290.5662,23.2477,9.4800,$(5.6\pm0.86)	imes10^{-12}$,0.9812,0.0188
4FGL J1748.5-0854,267.1366,-8.9017,6.1900,$(3.0\pm0.75)	imes10^{-12}$,0.9810,0.0190
4FGL J0601.3+5444,90.3303,54.7344,7.6200,$(1.7\pm0.33)	imes10^{-12}$,0.9809,0.0191
4FGL J0804.9-0624,121.2325,-6.4056,14.4200,$(3.7\pm0.56)	imes10^{-12}$,0.9809,0.0191
4FGL J1512.2+4704,228.0561,47.0725,8.8600,$(1.6\pm0.26)	imes10^{-12}$,0.9801,0.0199
4FGL J0751.4-0421,117.8642,-4.3607,9.3000,$(2.9\pm0.43)	imes10^{-12}$,0.9801,0.0199
4FGL J0344.4+3432,56.1212,34.5471,7.2800,$(1.8\pm0.39)	imes10^{-12}$,0.9800,0.0200
4FGL J1909.5+3511,287.3842,35.1928,5.4000,$(1.3\pm0.33)	imes10^{-12}$,0.9800,0.0200
4FGL J0133.2-4533,23.3007,-45.5586,5.6100,$(0.8\pm0.22)	imes10^{-12}$,0.9798,0.0202
4FGL J2340.5+3854,355.1284,38.9054,7.2800,$(2.1\pm0.37)	imes10^{-12}$,0.9797,0.0203
4FGL J1318.2+6754,199.5558,67.9152,11.2100,$(1.3\pm0.26)	imes10^{-12}$,0.9796,0.0204
4FGL J0202.9-0225,30.7500,-2.4223,7.7400,$(2.1\pm0.39)	imes10^{-12}$,0.9793,0.0207
